得意先,県,期,我社販売量
(株)イケノベ,茨城県,71期,52.06
(株)イケノベ,茨城県,72期,65.18
(株)イケノベ,茨城県,73期,39
(株)イシカワ,岩手県,73期,4
(株)イシカワ,青森県,71期,13.62
(株)イシカワ,青森県,73期,75.1
(株)えんどう種苗,滋賀県,71期,1.843
(株)えんどう種苗,滋賀県,72期,2.36
(株)えんどう種苗,滋賀県,73期,1.47
(株)カネ八商店,三重県,71期,4.14
(株)カネ八商店,三重県,72期,1.06
(株)カネ八商店,三重県,73期,0.94
(株)サングリーン青嶋,静岡県,71期,44.45
(株)サングリーン青嶋,静岡県,72期,9.935
(株)サングリーン青嶋,静岡県,73期,3.056
(株)ツカダ,北海道,71期,330
(株)ツカダ,北海道,72期,208.56
(株)ツカダ,北海道,73期,152
(株)ニチユ,千葉県,71期,118.5
(株)ニチユ,千葉県,72期,76.35
(株)ニチユ,千葉県,73期,102.02
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,愛知県,71期,4
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,愛知県,72期,4
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,山梨県,71期,0.36
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,山梨県,72期,0.4
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,神奈川県,72期,9
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,静岡県,71期,23.9
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,静岡県,72期,15.12
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,静岡県,73期,6
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,長野県,71期,15
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,長野県,72期,15
(株)ﾔﾏﾄｺｰﾎﾟﾚｰｼｮﾝ,静岡県,71期,108
(株)ﾔﾏﾄｺｰﾎﾟﾚｰｼｮﾝ,静岡県,72期,86.8
(株)ﾔﾏﾄｺｰﾎﾟﾚｰｼｮﾝ,静岡県,73期,38.8
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,宮城県,72期,0.5
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,宮城県,73期,0.25
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,群馬県,72期,0.12
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,神奈川県,73期,0.1
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,大阪府,72期,0.2
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,福岡県,72期,0.25
(株)ヰセキ九州,大分県,71期,7
(株)阿部産業,茨城県,71期,19.8
(株)阿部産業,茨城県,72期,14.8
(株)阿部産業,茨城県,73期,4.5
(株)伊勢屋肥料農材,岐阜県,71期,0.4
(株)伊勢屋肥料農材,岐阜県,72期,0.2
(株)伊勢屋肥料農材,静岡県,71期,141.7
(株)伊勢屋肥料農材,静岡県,72期,105.04
(株)伊勢屋肥料農材,静岡県,73期,19.3
(株)伊藤史恭商店,千葉県,71期,124.403
(株)伊藤史恭商店,千葉県,72期,108.01
(株)伊藤史恭商店,千葉県,73期,91.755
(株)奥隅商店,群馬県,71期,10
(株)奥隅商店,群馬県,72期,10
(株)奥隅商店,埼玉県,71期,24.45
(株)奥隅商店,埼玉県,72期,14
(株)奥隅商店,埼玉県,73期,6.4
(株)河原崎商事菊川,静岡県,71期,29.6
(株)河原崎商事菊川,静岡県,72期,24.8
(株)河原崎商事菊川,静岡県,73期,10.4
(株)関根辨之助商店,埼玉県,71期,66.8
(株)関根辨之助商店,埼玉県,72期,27.9
(株)関根辨之助商店,埼玉県,73期,20.6
(株)関東甲信ｸﾎﾞﾀ,茨城県,71期,0.195
(株)関東甲信ｸﾎﾞﾀ,茨城県,72期,0.18
(株)関東甲信ｸﾎﾞﾀ,埼玉県,71期,0.115
(株)関東甲信ｸﾎﾞﾀ,山梨県,72期,0.03
(株)関東甲信ｸﾎﾞﾀ,千葉県,71期,0.465
(株)関東甲信ｸﾎﾞﾀ,千葉県,72期,0.15
(株)関東甲信ｸﾎﾞﾀ,長野県,72期,0.03
(株)関東甲信ｸﾎﾞﾀ,栃木県,71期,1.08
(株)丸誠,熊本県,71期,20
(株)丸誠,熊本県,72期,16
(株)丸誠,熊本県,73期,8
(株)岩田万右ェ門商店,千葉県,71期,176.496
(株)岩田万右ェ門商店,千葉県,72期,148.646
(株)岩田万右ェ門商店,千葉県,73期,64.461
（株）櫛引商店,青森県,71期,60.5
（株）櫛引商店,青森県,72期,52.5
（株）櫛引商店,青森県,73期,60
(株)向後商店,千葉県,71期,108.87
(株)向後商店,千葉県,72期,106.32
(株)向後商店,千葉県,73期,107.3
(株)三豊,京都府,71期,46.99
(株)三豊,京都府,72期,49.205
(株)三豊,京都府,73期,43.49
(株)山喜商店,長崎県,71期,16.8
(株)山喜商店,長崎県,72期,24
(株)山喜商店,長崎県,73期,5
(株)山口高一商店,神奈川県,71期,1.1
(株)山口高一商店,神奈川県,72期,1
(株)山丁佐原商店,静岡県,71期,178.08
(株)山丁佐原商店,静岡県,72期,122.22
(株)山丁佐原商店,静岡県,73期,59.84
(株)山本松五郎商店,茨城県,71期,9.2
(株)山本松五郎商店,茨城県,72期,14.4
(株)山本松五郎商店,岐阜県,71期,2.2
(株)山本松五郎商店,岐阜県,72期,2
(株)山本松五郎商店,埼玉県,71期,15.4
(株)山本松五郎商店,埼玉県,72期,6.5
(株)山本松五郎商店,山梨県,71期,2.4
(株)山本松五郎商店,山梨県,72期,6.1
(株)山本松五郎商店,神奈川県,71期,40.12
(株)山本松五郎商店,神奈川県,72期,23.1
(株)山本松五郎商店,神奈川県,73期,14.66
(株)山本松五郎商店,静岡県,71期,20.5
(株)山本松五郎商店,静岡県,72期,21.14
(株)山本松五郎商店,静岡県,73期,3
(株)山本松五郎商店,千葉県,71期,18.54
(株)山本松五郎商店,千葉県,72期,37.21
(株)山本松五郎商店,千葉県,73期,10.407
(株)山本松五郎商店,東京都,71期,1.5
(株)山本松五郎商店,東京都,72期,1.5
(株)山本松五郎商店,東京都,73期,0.6
(株)山本松五郎商店,徳島県,71期,3.2
(株)寺口,和歌山県,71期,51.672
(株)寺口,和歌山県,72期,50.08
(株)寺口,和歌山県,73期,24.24
(株)篠崎商店,千葉県,71期,2.5
(株)篠崎商店,千葉県,72期,2.52
(株)篠崎商店,千葉県,73期,0.64
(株)篠崎商店,東京都,71期,0.2
(株)篠崎商店,東京都,72期,0.2
(株)若林肥料店,栃木県,71期,5.01
(株)手塚肥料店,栃木県,71期,54.37
(株)手塚肥料店,栃木県,72期,29.875
(株)手塚肥料店,栃木県,73期,27.57
(株)曙通商,北海道,71期,1600.005
(株)曙通商,北海道,72期,1112.055
(株)曙通商,北海道,73期,504.845
(株)勝山商店,静岡県,71期,0.024
(株)勝山商店,静岡県,72期,5
(株)小林太平堂,長野県,71期,10
(株)小林太平堂,長野県,72期,5
(株)小林太平堂,長野県,73期,5
(株)森下,群馬県,71期,310.8
(株)森下,群馬県,72期,285
(株)森下,群馬県,73期,80.2
(株)森下,千葉県,71期,192
(株)森田商店,千葉県,71期,30.4
(株)森田商店,千葉県,72期,28.38
(株)森田商店,千葉県,73期,14.54
(株)菅谷肥料店,茨城県,71期,255.436
(株)菅谷肥料店,茨城県,72期,115.53
(株)菅谷肥料店,茨城県,73期,53.485
(株)菅谷肥料店,群馬県,71期,0.3
(株)菅谷本店,千葉県,71期,1.2
(株)菅谷本店,千葉県,72期,1.34
(株)菅谷本店,千葉県,73期,0.7
(株)星野又右衛門商店,埼玉県,71期,156.474
(株)星野又右衛門商店,埼玉県,72期,108.244
(株)星野又右衛門商店,埼玉県,73期,10
(株)清水商店,長野県,71期,10
(株)清水商店,長野県,72期,10.1
(株)清水商店,長野県,73期,10
(株)西川,新潟県,71期,0.1
(株)西川,長野県,71期,8.78
(株)西川,長野県,72期,7
(株)西川,長野県,73期,5
(株)青木商店,山梨県,72期,0.04
(株)青木商店,栃木県,71期,60.7
(株)青木商店,栃木県,72期,69.08
(株)青木商店,栃木県,73期,48.8
(株)石原林造商店,香川県,71期,0.4
(株)石原林造商店,香川県,72期,0.4
(株)前田商店,千葉県,71期,31.565
(株)前田商店,千葉県,72期,30.2
(株)前田商店,千葉県,73期,19.5
(株)前田肥料店,愛知県,71期,4.2
(株)前田肥料店,愛知県,72期,13
(株)大宮ｸﾞﾘ-ﾝｻ-ﾋﾞｽ,埼玉県,71期,602.77
(株)大宮ｸﾞﾘ-ﾝｻ-ﾋﾞｽ,埼玉県,72期,220.51
(株)大宮ｸﾞﾘ-ﾝｻ-ﾋﾞｽ,埼玉県,73期,74.45
(株)大宮ｸﾞﾘ-ﾝｻ-ﾋﾞｽ,神奈川県,71期,0.06
(株)大宮ｸﾞﾘ-ﾝｻ-ﾋﾞｽ,神奈川県,73期,0.06
(株)大和,静岡県,71期,19.012
(株)大和,静岡県,72期,6.406
(株)大和,静岡県,73期,3.203
(株)大萬,千葉県,71期,52.504
(株)大萬,千葉県,72期,40.465
(株)大萬,千葉県,73期,28.828
(株)丹波屋,北海道,71期,175.12
(株)丹波屋,北海道,72期,-175.12
(株)池田商店,福岡県,71期,88.5
(株)竹浪平二商店,青森県,71期,23.807
(株)竹浪平二商店,青森県,72期,28.407
(株)竹浪平二商店,青森県,73期,12.5
(株)中善商店,千葉県,71期,2.3
(株)中善商店,千葉県,72期,2.1
(株)中善商店,千葉県,73期,1.8
(株)中村太一商店,千葉県,71期,46.7
(株)中村太一商店,千葉県,72期,28.74
(株)中村太一商店,千葉県,73期,17.96
(株)中部,岐阜県,71期,124.335
(株)中部,岐阜県,72期,189.695
(株)中部,岐阜県,73期,20.875
(株)町田ｱﾝﾄﾞ町田商会,青森県,71期,0.23
(株)塚本商店,千葉県,71期,69.25
(株)塚本商店,千葉県,72期,2
(株)鶴田利七商店,徳島県,71期,20
(株)鶴田利七商店,徳島県,72期,10
(株)鶴田利七商店,徳島県,73期,6
(株)土網商店,岡山県,72期,5
(株)土網商店,岡山県,73期,5
(株)土網商店,山口県,71期,158.284
(株)土網商店,山口県,72期,60.08
(株)土網商店,山口県,73期,108.986
(株)東商,静岡県,71期,0.1
(株)東商,静岡県,72期,0.06
(株)東商,静岡県,73期,0.06
(株)東日本肥料,愛知県,71期,0.6
(株)東日本肥料,愛知県,73期,0.6
(株)東日本肥料,茨城県,71期,1
(株)東日本肥料,茨城県,72期,0.2
(株)東日本肥料,岐阜県,71期,0.02
(株)東日本肥料,広島県,72期,0.42
(株)東日本肥料,香川県,71期,1.1
(株)東日本肥料,埼玉県,71期,0.1
(株)東日本肥料,埼玉県,73期,0.3
(株)東日本肥料,山口県,71期,0.2
(株)東日本肥料,滋賀県,71期,0.04
(株)東日本肥料,滋賀県,72期,0.04
(株)東日本肥料,秋田県,71期,16
(株)東日本肥料,長野県,71期,0.04
(株)東日本肥料,奈良県,72期,0.21
(株)頭久保,青森県,71期,5
(株)日の丸産業社,北海道,71期,80
(株)日の丸産業社,北海道,72期,50
(株)日の丸産業社,北海道,73期,50
(株)日向野商店,栃木県,72期,0.058
(株)日向野商店,栃木県,73期,0.048
(株)農産ｱｸﾞﾘｰﾝ,京都府,71期,7
(株)農産ｱｸﾞﾘｰﾝ,京都府,72期,9
(株)農産ｱｸﾞﾘｰﾝ,京都府,73期,6.2
(株)農産ｱｸﾞﾘｰﾝ,大阪府,71期,5.08
(株)農産ｱｸﾞﾘｰﾝ,奈良県,71期,1
(株)農産ｱｸﾞﾘｰﾝ,奈良県,72期,1
(株)農産ｱｸﾞﾘｰﾝ,兵庫県,72期,6
(株)農産ｱｸﾞﾘｰﾝ,和歌山県,71期,0.1
(株)農産ｱｸﾞﾘｰﾝ,和歌山県,72期,0.1
(株)尾崎本店,千葉県,71期,2.6
(株)尾崎本店,千葉県,72期,2.4
(株)尾崎本店,千葉県,73期,2.5
(株)冨山,新潟県,71期,394.884
(株)冨山,新潟県,72期,265.284
(株)冨山,新潟県,73期,129.29
(株)福田商会,岩手県,71期,0.1
(株)福田商会,岩手県,72期,0.15
(株)福田商会,岩手県,73期,0.2
(株)福田商会,宮城県,71期,15.3
(株)福田商会,宮城県,72期,10.5
(株)福田商会,宮城県,73期,10.25
(株)福田商会,福島県,72期,0.15
(株)麻生商店,群馬県,71期,182.2
(株)麻生商店,群馬県,72期,194.542
(株)麻生商店,群馬県,73期,110
(株)鷲尾,新潟県,71期,440.37
(株)鷲尾,新潟県,72期,376.495
(株)鷲尾,新潟県,73期,255.52
(株)縣商店,静岡県,71期,24.4
(株)縣商店,静岡県,72期,18.42
(株)縣商店,静岡県,73期,14
(株)舩越,静岡県,71期,92.424
(株)舩越,静岡県,72期,75.848
(株)舩越,静岡県,73期,25.901
(資)下幾商店,愛知県,71期,48.57
(資)下幾商店,愛知県,72期,33.825
(資)下幾商店,愛知県,73期,22.756
（資）宮原商店,佐賀県,71期,9
（資）宮原商店,佐賀県,72期,6.8
（資）宮原商店,佐賀県,73期,3
(資)野澤屋商店,愛知県,71期,1.8
(資)野澤屋商店,愛知県,72期,1
(資)野澤屋商店,愛知県,73期,1.2
(有)カネカ商店,愛知県,71期,1.5
(有)カネカ商店,愛知県,72期,2.92
(有)カワシマ園芸,滋賀県,71期,12.868
(有)カワシマ園芸,滋賀県,72期,9.309
(有)カワシマ園芸,滋賀県,73期,5.148
(有)ちゆき園,愛知県,71期,0.924
(有)ちゆき園,愛知県,72期,1.024
(有)ちゆき園,愛知県,73期,0.324
(有)益登商店,愛知県,71期,35.82
(有)益登商店,愛知県,72期,32.06
(有)益登商店,愛知県,73期,5.46
(有)越川平治郎商店,千葉県,71期,15.9
(有)越川平治郎商店,千葉県,72期,16
(有)越川平治郎商店,千葉県,73期,10.8
(有)園芸センター森,滋賀県,71期,1.55
(有)園芸センター森,滋賀県,72期,0.6
(有)園芸センター森,滋賀県,73期,0.425
(有)丸喜商店,徳島県,71期,105.59
(有)丸喜商店,徳島県,72期,92.4
(有)丸喜商店,徳島県,73期,58.56
（有）丸三商会,三重県,71期,62.153
（有）丸三商会,三重県,72期,61.708
（有）丸三商会,三重県,73期,37.496
(有)岩崎肥料店,栃木県,71期,24.22
(有)岩崎肥料店,栃木県,72期,16.62
(有)岩崎肥料店,栃木県,73期,21.6
(有)宮城りょくせい,宮城県,71期,499.17
(有)宮城りょくせい,宮城県,72期,357.685
(有)宮城りょくせい,宮城県,73期,38.71
(有)宮本肥料店,静岡県,71期,2.2
(有)宮本肥料店,静岡県,72期,2
(有)協和肥料,神奈川県,71期,4.77
(有)協和肥料,神奈川県,73期,3
(有)金井栄蔵商店,千葉県,71期,50.4
(有)金井栄蔵商店,千葉県,72期,64.8
(有)金井栄蔵商店,千葉県,73期,30.12
(有)粂田肥料店,静岡県,71期,6.9
(有)粂田肥料店,静岡県,72期,3.8
(有)粂田肥料店,静岡県,73期,2.55
(有)佐藤長蔵商店,山形県,71期,0.072
(有)佐藤長蔵商店,山形県,72期,0.072
(有)若喜屋商店,群馬県,71期,25.54
(有)若喜屋商店,群馬県,72期,14.34
(有)秋山茂商店,千葉県,71期,9.6
(有)小松商店,愛知県,71期,0.012
(有)小松商店,広島県,71期,28.8
(有)小松商店,広島県,72期,9.39
(有)小松商店,広島県,73期,9.26
(有)小松商店,山梨県,71期,0.036
(有)小松商店,山梨県,72期,0.024
(有)小松商店,福島県,71期,0.04
(有)小川豊商店,千葉県,71期,4
(有)小川豊商店,千葉県,72期,6
(有)小牧肥料店,三重県,71期,38
(有)小牧肥料店,三重県,72期,15.4
(有)小牧肥料店,三重県,73期,21.3
(有)小野宗商産,茨城県,71期,47.64
(有)小野宗商産,茨城県,72期,17.37
(有)小野宗商産,茨城県,73期,10.06
(有)菅野伊五平商店,兵庫県,71期,13
(有)菅野伊五平商店,兵庫県,72期,22.6
(有)菅野伊五平商店,兵庫県,73期,4
(有)清水商事,埼玉県,71期,53.44
(有)清水商事,埼玉県,72期,41.3
(有)清水商事,埼玉県,73期,26.86
(有)青木商店,群馬県,73期,13
(有)斉忠商店,千葉県,71期,54.98
(有)斉忠商店,千葉県,72期,42.495
(有)斉忠商店,千葉県,73期,29.99
(有)千歳屋種苗,群馬県,71期,76.4
(有)千歳屋種苗,群馬県,72期,13.2
(有)千歳屋種苗,群馬県,73期,13.46
(有)川口商店,和歌山県,71期,2
(有)前田肥料センタ,愛知県,71期,20.4
(有)前田肥料センタ,愛知県,72期,4.32
(有)前田肥料センタ,愛知県,73期,5.712
(有)竹村与四郎商店,茨城県,71期,21.2
(有)竹村与四郎商店,茨城県,72期,45.72
(有)竹村与四郎商店,茨城県,73期,14
(有)長澤園芸,静岡県,71期,1.86
(有)長澤園芸,静岡県,72期,1.86
(有)長澤園芸,静岡県,73期,0.86
(有)内海盛作商店,茨城県,71期,12.3
(有)内海盛作商店,茨城県,72期,10.1
(有)内海盛作商店,茨城県,73期,7.2
(有)粕田商店,茨城県,71期,13.4
(有)粕田商店,茨城県,72期,10
(有)八木沢肥料店,栃木県,71期,20.06
(有)八木沢肥料店,栃木県,72期,7.7
(有)八木沢肥料店,栃木県,73期,10
(有)菱沼農機商会,栃木県,71期,4.555
(有)菱沼農機商会,栃木県,72期,4.49
(有)菱沼農機商会,栃木県,73期,4.83
(有)冨士興業,山口県,71期,8.765
(有)冨士興業,山口県,72期,8.02
(有)冨士興業,山口県,73期,4.45
(有)冨士興業,鹿児島県,71期,0.01
(有)冨士興業,新潟県,72期,0.04
(有)冨士興業,静岡県,71期,0.02
(有)冨士興業,静岡県,72期,0.02
(有)冨士興業,千葉県,71期,0.06
(有)冨士興業,兵庫県,71期,0.04
(有)福嶋屋穀店,埼玉県,71期,28.51
(有)福嶋屋穀店,埼玉県,72期,30.24
(有)福嶋屋穀店,埼玉県,73期,13.47
(有)野矢商店,滋賀県,71期,0.048
(有)野矢商店,滋賀県,72期,1.096
(有)油屋,茨城県,71期,23.6
(有)油屋,茨城県,72期,16.24
(有)油屋,茨城県,73期,70.9
(有)藍商店,千葉県,71期,31.06
(有)藍商店,千葉県,72期,16.47
(有)藍商店,千葉県,73期,4.4
(有)林商店,岐阜県,71期,17.2
(有)林商店,岐阜県,72期,40.62
(有)林商店,岐阜県,73期,24.95
(有)鈴木三郎商店,愛知県,71期,203.031
(有)鈴木三郎商店,愛知県,72期,180.135
(有)鈴木三郎商店,愛知県,73期,63.112
(有)莨屋肥料店,静岡県,71期,137.6
(有)莨屋肥料店,静岡県,72期,91.484
(有)莨屋肥料店,静岡県,73期,55.452
Case株式会社,岐阜県,71期,0.12
JAならけん,奈良県,71期,3.26
JAならけん,奈良県,72期,0.24
ＪＡ愛知経済連,愛知県,71期,1634.385
ＪＡ愛知経済連,愛知県,72期,1083.225
ＪＡ愛知経済連,愛知県,73期,546.45
ＪＡ愛知経済連(直),愛知県,71期,2746.246
ＪＡ愛知経済連(直),愛知県,72期,1899.589
ＪＡ愛知経済連(直),愛知県,73期,983.028
ＪＡ静岡県経済連,静岡県,71期,1207.28
ＪＡ静岡県経済連,静岡県,72期,921.62
ＪＡ静岡県経済連,静岡県,73期,420.66
ＪＡ静岡県経済連(直),静岡県,71期,1966.76
ＪＡ静岡県経済連(直),静岡県,72期,1309.1
ＪＡ静岡県経済連(直),静岡県,73期,660.04
ＪＡ全農 にいがた,新潟県,71期,0.22
ＪＡ全農 にいがた,新潟県,72期,0.06
ＪＡ全農 にいがた,新潟県,73期,0.06
ＪＡ全農 みえ,三重県,71期,2263.908
ＪＡ全農 みえ,三重県,72期,1230.745
ＪＡ全農 みえ,三重県,73期,417.492
ＪＡ全農 岐阜,岐阜県,71期,3038.586
ＪＡ全農 岐阜,岐阜県,72期,2199.208
ＪＡ全農 岐阜,岐阜県,73期,1536.632
ＪＡ全農 京都,京都府,71期,162.4
ＪＡ全農 京都,京都府,72期,12
ＪＡ全農 埼玉,埼玉県,71期,52.08
ＪＡ全農 埼玉,埼玉県,72期,43.32
ＪＡ全農 埼玉,埼玉県,73期,23.6
ＪＡ全農 滋賀,滋賀県,71期,13.38
ＪＡ全農 滋賀,滋賀県,72期,12
ＪＡ全農 滋賀,滋賀県,73期,24
ＪＡ全農 石川,石川県,71期,140.64
ＪＡ全農 石川,石川県,72期,118.88
ＪＡ全農 石川,石川県,73期,0.04
ＪＡ全農 千葉,千葉県,71期,240.36
ＪＡ全農 千葉,千葉県,72期,198.9
ＪＡ全農 千葉,千葉県,73期,88.73
ＪＡ全農 富山,富山県,71期,72.06
ＪＡ全農 富山,富山県,72期,12.08
ＪＡ梨北,山梨県,71期,6.969
ＪＡ梨北,山梨県,72期,6.433
ＪＡ梨北,山梨県,73期,2.668
アグリックス(株),宮崎県,71期,19.9
アグリックス(株),宮崎県,72期,21.575
アグリックス(株),宮崎県,73期,5
ｲﾉﾁｵﾌﾟﾗﾝﾄｹｱ,静岡県,71期,557.7
